"gene_id","log2FC","pval"
"ENSG00000174442",1.19871526319578,8.49605144405991e-37
"ENSG00000083782",5.12586629381361,8.70130970093996e-37
"ENSG00000273729",-1.29539108252469,8.90158518459596e-37
"ENSG00000261625",-2.46229416780212,1.05960640918446e-36
"ENSG00000116183",-2.87528358372787,1.1112634290712e-36
"ENSG00000170145",-1.92924844506313,1.11270791840321e-36
"ENSG00000159147",1.25291883506677,1.14168707286122e-36
"ENSG00000240038",-1.86736288496207,1.16438726970941e-36
"ENSG00000196972",-2.03010927433003,1.23168826148664e-36
"ENSG00000144908",-4.86046413476127,1.26718640765494e-36
"ENSG00000103253",2.76150840903927,1.29853182641679e-36
"ENSG00000149231",-1.2768548291855,1.39228085519839e-36
"ENSG00000237125",-1.9855840721947,1.454729659968e-36
"ENSG00000184831",1.00232918298674,1.49527074371229e-36
"ENSG00000093009",2.73892037553708,1.75764745310186e-36
"ENSG00000165269",-5.53375444621126,1.96086627728136e-36
"ENSG00000101811",0.894038706323736,2.38863564674455e-36
"ENSG00000183807",-2.20388454596949,2.40780023269702e-36
"ENSG00000260563",-1.22882171119137,2.42352949749544e-36
"ENSG00000213366",-1.93168992024066,2.77331950675995e-36
"ENSG00000116957",0.872389904537338,3.3339928561276e-36
"ENSG00000189221",-3.48491357402744,4.21810300221869e-36
"ENSG00000136108",1.43607920580524,4.23408460301479e-36
"ENSG00000182175",-2.24447947718563,4.32759718937187e-36
"ENSG00000122547",-1.63790854193823,4.6507906158584e-36
"ENSG00000136111",-1.23591728294642,4.66150840249778e-36
"ENSG00000123096",-1.56527210855566,5.27546123385776e-36
"ENSG00000203727",-3.36420988579385,5.91507167717749e-36
"ENSG00000130520",1.17334322694894,6.66734992426824e-36
"ENSG00000142197",1.37492170662095,7.14625153080292e-36
"ENSG00000133195",1.52562382709267,7.71853874701249e-36
"ENSG00000196616",-6.1542721772848,8.91955137924499e-36
"ENSG00000186532",-0.733785909704384,9.4332939211446e-36
"ENSG00000220205",-0.967650253158997,9.70605195154007e-36
"ENSG00000159648",-3.57455697896442,1.01247975406757e-35
"ENSG00000132975",-4.04046820273435,1.02869890400041e-35
"ENSG00000152465",-1.65195518122425,1.09631042873784e-35
"ENSG00000123560",-3.25242846145335,1.35847521295631e-35
"ENSG00000184905",-3.38861619660562,1.36346454212132e-35
"ENSG00000260917",-1.49930636924419,1.37460550784206e-35
"ENSG00000009694",-2.64417746586129,1.44065394737428e-35
"ENSG00000189129",-3.1754702792598,1.61046943039938e-35
"ENSG00000153820",-5.28338240419847,2.08787387635491e-35
"ENSG00000179958",1.20900312712682,2.10382444377363e-35
"ENSG00000131471",-3.16756660160754,2.46992697730254e-35
"ENSG00000148935",-2.11202478806247,2.70718049320699e-35
"ENSG00000117525",-2.19102735488891,2.7654289016438e-35
"ENSG00000117877",1.05451191467531,3.02264593919449e-35
"ENSG00000274818",-1.53529338774938,3.12000807516289e-35
"ENSG00000160606",2.14708092425029,3.60013732457634e-35
"ENSG00000166819",-5.53186311203601,4.16124953023682e-35
"ENSG00000065328",2.79165191320956,5.24853397431727e-35
"ENSG00000125869",3.3146625816349,6.36417022597514e-35
"ENSG00000177938",-3.58344732468615,6.46549504647023e-35
"ENSG00000188368",1.92054646275482,6.93279065252843e-35
"ENSG00000185480",1.6025073610952,7.11636174916344e-35
"ENSG00000198483",-2.15266633988728,7.32739749294098e-35
"ENSG00000143543",0.988315862694969,7.82307379291292e-35
"ENSG00000197766",-3.70813081878047,8.353394850565e-35
"ENSG00000168952",-2.55667040973125,9.41880891008555e-35
"ENSG00000117262",0.967820575839202,9.55037537131489e-35
"ENSG00000156509",2.05812697356724,1.12048736435739e-34
"ENSG00000103550",1.01344198880463,1.44528658852061e-34
"ENSG00000124785",-2.15157273882106,1.79449571361453e-34
"ENSG00000146469",-2.44235114520509,1.81759026229778e-34
"ENSG00000164934",1.14758152738823,1.95088149709236e-34
"ENSG00000136518",0.917117959495807,2.16839459479674e-34
"ENSG00000157782",-2.27377960168115,2.54009602877539e-34
"ENSG00000169813",0.784447254147659,2.63769385837444e-34
"ENSG00000076067",-0.986509462042647,2.6736237396623e-34
"ENSG00000164109",1.98992041341969,2.78767683380611e-34
"ENSG00000091972",-1.20318695601222,2.88103105459796e-34
"ENSG00000164035",-1.77973959180223,3.12091580459477e-34
"ENSG00000180509",-2.95298894353128,3.28492810986058e-34
"ENSG00000011304",0.636393621730729,3.40407177741677e-34
"ENSG00000135074",1.82567062412286,3.82337747554174e-34
"ENSG00000120318",-1.16946342502802,3.98009229462774e-34
"ENSG00000101871",-1.89426564343868,4.21683866545208e-34
"ENSG00000162669",-2.39611248516819,4.83122407092308e-34
"ENSG00000156873",0.896026441287136,4.94539497367199e-34
"ENSG00000106638",0.896120720892781,4.99872058495837e-34
"ENSG00000167191",-1.48484399190128,5.32171259154401e-34
"ENSG00000167394",1.03140192800523,5.76416212688787e-34
"ENSG00000136492",2.08417842345409,5.80865453350922e-34
"ENSG00000174514",-1.97602234449018,5.86358680010484e-34
"ENSG00000183134",-2.18787439889113,6.05121481612301e-34
"ENSG00000185920",-1.59505819366043,6.11289826285493e-34
"ENSG00000267194",-1.97707850245771,6.50774703949854e-34
"ENSG00000108001",-2.36766955157958,6.53218963305016e-34
"ENSG00000067113",-1.44664599895555,7.71213201647839e-34
"ENSG00000106367",1.14051829342228,7.76177991816268e-34
"ENSG00000279204",-2.98432029262995,8.01431896729713e-34
"ENSG00000184992",1.23494501804478,9.93730789651486e-34
"ENSG00000156475",-1.98429274265058,1.12940854814926e-33
"ENSG00000137672",-1.26602107092342,1.19246813634691e-33
"ENSG00000125845",-2.50937104789014,1.26678099266309e-33
"ENSG00000034239",-3.40614126418302,1.28980964582832e-33
"ENSG00000176393",1.00042502085826,1.29183257278661e-33
"ENSG00000175984",-1.22899397054198,1.53137109811479e-33
"ENSG00000279526",-2.24688605281639,1.54681941907276e-33
"ENSG00000126218",-2.46040835727708,1.5970972369841e-33
"ENSG00000077616",-2.32586423506795,1.68430626400195e-33
"ENSG00000156802",1.84537064264321,1.76300824285193e-33
"ENSG00000119714",1.67376170589493,1.88286784709299e-33
"ENSG00000132031",2.57081744192312,1.9366123282984e-33
"ENSG00000143621",0.904465232029092,2.2039245217308e-33
